id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
2818,Quiet Garden View Room & Super Fast Wi-Fi,3159,Daniel,,Oostelijk Havengebied - Indische Buurt,52.36435,4.94358,Private room,83.0,3,389,2024-08-31,2.07,1,105,35,0363 5F3A 5684 6750 D14D
28871,Comfortable double room,124245,Edwin,,Centrum-West,52.36775,4.89092,Private room,79.0,2,638,2024-09-03,3.73,2,74,100,0363 607B EA74 0BD8 2F6F
29051,Comfortable single room,124245,Edwin,,Centrum-Oost,52.36584,4.89111,Private room,59.0,2,761,2024-09-04,4.64,2,91,84,0363 607B EA74 0BD8 2F6F
97221,Beautiful and spacious room,195859,Gianni,,Slotervaart,52.34801,4.83639,Private room,69.0,2,361,2024-08-17,2.25,2,307,65,0363 BCBA 6311 3268 DC8C
188347,Clean & Cozy in The Baarsjes,907405,Yahav,,De Baarsjes - Oud-West,52.3683,4.85446,Private room,76.0,1,434,2024-09-01,2.73,1,49,36,0363 7C68 38F7 176D 8CDF
308028,"SunFlower, A Sunny B&B",1141485,Gisèle And Simon,,Centrum-Oost,52.35972,4.8975,Private room,100.0,3,36,2023-02-28,0.28,3,0,0,0363 33C3 B936 3911 FC42
445660,cosy room with private entrance,2202945,Heleen,,De Baarsjes - Oud-West,52.37001,4.85646,Private room,75.0,3,564,2024-08-26,3.76,1,122,48,0363 1D15 382F 70B9 6319
613088,Your own cottage in the countryside,3040748,Henk,,Noord-Oost,52.41016,4.96369,Private room,87.0,2,415,2023-05-28,2.83,9,0,0,0363 C2FC D0FB 68D9 2F58
683431,Nice Room near to RAI and downtown,2309485,Ned,,De Pijp - Rivierenbuurt,52.34557,4.8962,Private room,83.0,1,691,2024-08-31,5.62,1,64,66,0363 0BD4 E0F6 EDD1 59C7
693675,2 rooms in beautiful appartment near Vondelpark,3548522,Susanne,,De Baarsjes - Oud-West,52.35925,4.8514,Entire home/apt,95.0,1,11,2018-09-02,0.08,3,0,0,0363 8350 2AA2 28A1 C258
721291,Sunny apt great location free bikes,3723928,Katarina,,Westerpark,52.37752,4.87086,Private room,79.0,2,238,2024-08-26,1.65,1,174,28,0363 0457 C25F CA42 36BC
730916,Room with a view,3267693,Santiago & Tony,,Westerpark,52.3731,4.86859,Private room,94.0,3,452,2024-08-11,3.15,1,10,28,0363 AC47 89D1 F988 70CA
740616,Private Room at our LoveNest in Amsterdam,3846003,Patricia And Carlos,,Centrum-Oost,52.36256,4.9108,Private room,99.0,3,77,2019-06-15,0.53,1,0,0,0363 52AD E309 9B3D 72F7
747847,nice cozy room near Vondelpark,3548522,Susanne,,De Baarsjes - Oud-West,52.36131,4.8519,Private room,60.0,2,40,2018-06-23,0.31,3,2,0,0363 8350 2AA2 28A1 C258
761411,Amsterdam sweethome - Clean Quiet Safe,4013546,Xsjong,,Noord-Oost,52.40164,4.95106,Private room,65.0,3,336,2024-08-31,2.33,2,338,32,0363 D4AD DCF3 E72A 56A2
771758,Nice and Cozy Room Offered in Amsterdam,195859,Gianni,,Slotervaart,52.34985,4.83578,Private room,69.0,2,328,2024-08-21,2.37,2,301,53,0363 BCBA 6311 3268 DC8C
906446,A cosy Bed and Breakfast in A'dam.,488009,Vivian,,Buitenveldert - Zuidas,52.33229,4.87431,Private room,99.0,2,415,2024-08-05,3.0,2,353,27,0363 707F 46F6 0246 4CB8
947437,"Boutique room style ,room in quiet neighborhood",5134833,Andre,,Osdorp,52.35595,4.79661,Private room,100.0,2,317,2024-08-25,2.36,2,221,53,0363 8300 75DC 8AD2 186A
954629,"Stylish, clean studio, on second floor",5183517,Simone,,Bijlmer-Centrum,52.319366608363936,4.953924922464188,Private room,79.0,2,125,2024-09-03,1.06,2,203,52,0363 7AA6 5489 C8E4 39CE
954633,Private studio 25m2 for two near A'dam Arena,5183517,Simone,,Bijlmer-Centrum,52.32019,4.95501,Private room,78.0,3,191,2024-08-18,1.52,2,184,28,0363 7AA6 5489 C8E4 39CE
995087,Waterfront B&B,4415881,Vera,,Westerpark,52.381615,4.877059,Private room,90.0,3,451,2024-08-19,3.56,1,0,33,0363 6931 E4DB 02D7 CC92
1008223,A'dam West - room with double bed,4443157,Arne,,Slotervaart,52.36369,4.83861,Private room,95.0,2,660,2024-06-13,4.74,1,236,22,0363 2BC1 B5A0 68C1 3161
1018703,Cosy studio on HOUSEBOAT with roof terrace!,125667,Michèle,,De Pijp - Rivierenbuurt,52.35099,4.886627,Private room,20.0,1,331,2024-08-28,2.62,2,140,27,Exempt
1057494,Lovely bright room with balcony and beatiful view!,1899420,Rosie,,Zuid,52.34746,4.87559,Private room,67.0,1,594,2024-08-24,4.31,2,85,41,03636DA0823945F2FF59
1100569,bright room + private roof terrace,5134833,Andre,,Osdorp,52.35622,4.79544,Private room,80.0,2,156,2023-01-02,1.17,2,237,0,0363830075DC8AD2186A
1116446,DELUXE ROOM near centre easy parking!,6127483,Daniella,,Bos en Lommer,52.37871,4.84688,Private room,77.0,1,373,2024-07-28,2.71,3,120,23,0363 A6C0 16C0 2606 7E49
1145866,Stylish Trendy Room Whirlpool Easy Parking,6127483,Daniella,,Bos en Lommer,52.37802,4.84513,Private room,80.0,1,357,2024-09-01,2.62,3,256,27,0363 A6C0 16C0 2606 7E49
1350246,"Casa Vrolik, Amsterdam, Oosterparkbuurt Bnb 1pp",4905127,Toetsie,,Oud-Oost,52.35719,4.92193,Private room,95.0,2,237,2024-07-22,1.79,4,319,17,0363 A7D7 D999 34B1 1496
1358042,Woonboot in Amsterdam.,7371529,Ton,,Noord-Oost,52.3809,4.96522,Private room,85.0,2,636,2024-08-17,4.73,1,197,66,03631452992C92E8DB02
1375612,Your own apartment on wheels,3040748,Henk,,Noord-Oost,52.39508,4.99186,Private room,76.0,2,211,2024-08-22,1.57,9,203,27,0363 2A6D 7C09 877D 715F
1383369,"Vintage, Stylish, Romantic close to city-center",7393137,Fenno,,Westerpark,52.38069,4.86826,Entire home/apt,100.0,3,154,2024-09-01,1.14,1,5,14,0363 99A8 77BA 50A0 9478
1630438,Cosy and quiet room near RAI,8664912,Janet,,De Pijp - Rivierenbuurt,52.34292,4.89445,Private room,99.0,2,377,2024-08-20,2.85,1,292,39,0363 0371 CF78 0958 7FB3
1630603,Charming quite room with fast Wifi,1899420,Rosie,,Zuid,52.34736,4.87546,Private room,75.0,1,544,2024-08-22,4.08,2,82,39,03636DA0823945F2FF59
1708244,Amsterdam privat spacious room NDSM,8817734,Nienke,,Noord-West,52.40793,4.90264,Private room,86.0,2,317,2024-07-19,2.5,1,4,27,0363159CF4B32A768408
1798944,Centre Ams - Welcome to your Home away from Home,8691762,Mart,,Centrum-West,52.38778,4.88848,Private room,78.0,3,372,2024-08-20,3.04,1,293,61,0363 8511 7936 FDC3 CBF9
2514858,"Two private rooms in cosy apartment in ""de Pijp""",9396158,Rob & René,,De Pijp - Rivierenbuurt,52.34965,4.89403,Private room,95.0,2,148,2024-08-31,1.18,1,205,32,0363 07E8 9AC7 1758 B0F6
2761156,Comfortable sky room 2 12th floor,14122005,Rick,,Slotervaart,52.36309,4.84393,Private room,57.0,2,516,2024-09-05,4.08,2,190,55,0363 DA82 0626 A1FA 89B3
2763386,Comfortable Sky Room 1 on  12th floor,14122005,Rick,,Slotervaart,52.36173,4.8454,Private room,70.0,2,448,2024-08-31,3.54,2,196,46,0363 DA82 0626 A1FA 89B3
2842228,Your little appartment on wheels,3040748,Henk,,Noord-Oost,52.39508,4.99186,Private room,60.0,2,144,2024-08-10,1.15,9,181,22,0363 2A6D 7C09 877D 715F
2853285,Hotel Not Hotel Ams: Invisible Room Downstairs,14574533,Hotel Not Hotel,,De Baarsjes - Oud-West,52.36491,4.86102,Private room,95.0,1,174,2024-08-09,1.39,19,307,27,Exempt
2942229,An stylish room in a green area,1271678,Andrea,,Bijlmer-Oost,52.32613,4.97748,Private room,75.0,2,345,2024-07-07,2.74,1,0,6,0363 9223 868C 249F 5961
2981853,Hotel Not Hotel Amsterdam: Volkswagen T1,14574533,Hotel Not Hotel,,De Baarsjes - Oud-West,52.36689,4.85891,Private room,89.0,1,52,2024-05-23,0.42,19,315,18,Exempt
2981861,Hotel Not Hotel Amsterdam: Secret Bookcase Small,14574533,Hotel Not Hotel,,De Baarsjes - Oud-West,52.36568,4.85883,Private room,95.0,1,119,2024-08-28,0.96,19,328,20,Exempt
3120537,Hotel Not Hotel Amsterdam: Amsterdam Tram Cart,14574533,Hotel Not Hotel,,De Baarsjes - Oud-West,52.36737,4.86018,Private room,100.0,1,51,2024-07-31,0.44,19,301,15,Exempt
3155284,Your cottage in the countryside,3040748,Henk,,Noord-Oost,52.41016,4.96369,Private room,87.0,2,182,2023-04-10,1.48,9,0,0,0363 C2FC D0FB 68D9 2F58
3346620,Amsterdam sweethome - Clean Quiet Safe 2,4013546,Xsjong,,Noord-Oost,52.40154,4.95282,Private room,67.0,2,232,2024-08-11,1.87,2,335,47,0363 D4AD DCF3 E72A 56A2
3526459,Trendy private apartment citycentre,17756316,Maudi,,Osdorp,52.35212,4.80113,Entire home/apt,95.0,2,48,2019-11-18,0.39,1,0,0,0363 E7FB F745 88DE 9818
3566834,Comfortable Stay in museum district (#1 eco badge),2986709,Sézane,,Zuid,52.35402,4.88123,Private room,79.0,1,331,2024-08-24,3.23,3,347,54,0363 7C88 6FCC CBFD 195E
3580990,Cosy apartment near Vondelpark,17952331,Jan,,De Baarsjes - Oud-West,52.36259,4.86327,Entire home/apt,95.0,2,24,2017-11-05,0.2,1,29,0,0363 4AFB 68D4 C405 9948
3796459,PRIVATE AND COSY ROOM FOR 2,5647814,Eveline,,Watergraafsmeer,52.35191,4.92078,Private room,99.0,2,74,2024-08-18,0.6,1,336,34,0363 E887 1FCF BC33 B133
4147932,Nice 45m2  private room with shower & roof terrace,21488545,Enith,,Watergraafsmeer,52.35396,4.93526,Private room,96.0,2,421,2024-09-02,3.49,1,208,66,0363 70BF ECCC 33E3 6737
4278312,Delightfull spacious room in gorgeous home,15712909,Nima,,Noord-West,52.41119,4.8931,Private room,69.0,2,178,2024-09-01,1.73,3,163,21,0363 D1E7 6939 B592 2D09
4282686,The North:The Place to Be!Very Private&Coronafree!,22233513,Jeroen,,Noord-West,52.40679,4.91361,Private room,81.0,2,472,2024-09-01,4.01,1,290,53,0363 7C90 2F89 3EB8 5FB5
4449764,"Room + own shower and toilet, breakfast included",22594722,Maike & Caspar,,Oostelijk Havengebied - Indische Buurt,52.37294,4.95167,Private room,90.0,1,772,2024-09-05,6.45,1,3,69,0363 BA38 BB50 480F C800
4619390,Beautifull designed apartment AMS,23928189,Bram,,Slotervaart,52.35207,4.83136,Entire home/apt,96.0,2,45,2024-05-20,0.39,2,10,7,0363 9222 F7EB 6C0E CA66
4636051,Nice & cosy  room for 2  near the city center,16274382,Gina,,Oud-Oost,52.35872,4.90728,Private room,72.0,2,164,2024-09-01,1.46,2,84,25,0363CC256BEFCFE82A0F
4764819,1 person room in Amsterdam-Center,12232781,Danielle,,Centrum-Oost,52.36295,4.90481,Private room,45.0,1,482,2024-08-17,4.09,1,1,42,0363 4FEA D09C 7567 7AEC
4864384,2p Balcony Room  - Quiet Street - Airport - Center,18482089,Klaas,,De Aker - Nieuw Sloten,52.34838,4.78878,Private room,88.0,3,265,2024-08-10,2.29,3,334,28,0363 ECFE 7345 29A0 BAC4
5156433,ABC apartment,23928189,Bram,,Slotervaart,52.35033,4.83116,Entire home/apt,75.0,1,12,2022-07-16,0.11,2,9,0,0363 9222 F7EB 6C0E CA66
5718834,Private room in the CENTER,29650604,Emy,,Centrum-Oost,52.37323,4.92166,Private room,90.0,2,275,2024-08-22,2.39,1,0,29,0363 37F4 5013 A364 7211
5887152,"Garden Studio, 20 min with tram 1 to city center!",21883308,Nabila,,De Aker - Nieuw Sloten,52.34559,4.79503,Private room,89.0,3,403,2024-08-09,3.53,1,219,36,0363 C340 6F5E BC19 0D6F
6043774,Private & Cozy Room close to centre.,31365652,Lea,,Oud-Oost,52.35539,4.92071,Private room,70.0,3,603,2024-08-25,5.28,1,12,61,0363 6CF6 FD25 076A 95BC
6133157,Room with private garden in CENTER of Amsterdam!,31817443,Gina,,Centrum-West,52.38566,4.88378,Private room,75.0,2,653,2024-08-18,5.74,2,251,77,0363 BB9D F026 723D 64AD
6373767,Private Studio in the “Pijp” near hotspots,33214578,Paul,,De Pijp - Rivierenbuurt,52.35254,4.89458,Private room,93.0,2,425,2024-09-02,3.75,1,105,60,0363 16B9 EAB4 3060 20FF
6463787,"Wooden Garden House, the Mulberry",9064164,Rachel,,Noord-Oost,52.4147,5.02643,Entire home/apt,85.0,3,122,2021-09-14,1.08,1,0,0,0363 C101 0DB7 47AA D444
6654255,Cozy Room (no couples)Close to Centre & Cute Cats!,15507949,Julie,,Westerpark,52.38577,4.87007,Private room,65.0,1,111,2024-08-18,1.04,1,2,58,0363 5BA4 4C9E DFBC 7412
6665729,Nice quiet room for one person only,34349002,Erik,,Gaasperdam - Driemond,52.30023,4.99987,Private room,60.0,1,326,2024-09-02,2.92,1,331,52,0363 FB5D ED78 B82A 8DB5
7111455,Bathroom ensuite privately 1thfloor and entrance,20919943,Ellen,,Noord-West,52.42512,4.88842,Private room,94.0,3,396,2024-08-25,3.56,1,156,59,0363 636D 861C 0EE1 970C
7160841,Your  waggon at the cows paradise,3040748,Henk,,Noord-Oost,52.40744,4.99579,Private room,74.0,2,92,2024-04-03,0.83,9,193,3,0363 8FA8 4049 3B81 71EE
7190115,"De Pijp B&B, Garden View",37658666,Ruben,,De Pijp - Rivierenbuurt,52.35481396502947,4.90074679036134,Private room,86.0,1,776,2024-08-25,7.89,2,94,87,0363 EE1C C474 F558 1FE2
7213232,"Calm, spacious room in vibrant area",1272887,Yannick,,Oostelijk Havengebied - Indische Buurt,52.36382,4.94345,Private room,89.0,1,123,2020-03-08,1.12,1,97,0,0363 E4E4 C150 8F07 D06F
7276869,De Pijp B&B,37658666,Ruben,,De Pijp - Rivierenbuurt,52.35667601571162,4.899959510649868,Private room,87.0,1,868,2024-08-26,7.92,2,105,84,0363 EE1C C474 F558 1FE2
7474662,kramerskamer,39146647,Hein,,Centrum-Oost,52.3633,4.91135,Private room,94.0,2,621,2024-09-05,5.65,1,263,93,0363 1E52 A272 5167 4EDA
7555385,Intimate studio,39600914,Petra,,Slotervaart,52.35955,4.82713,Private room,72.0,1,479,2024-09-01,4.45,1,200,68,0363 5EE0 037A 252F 0FAB
7895182,"Cosy, comfortable, quiet bedroom",32659450,Mieke,,Bos en Lommer,52.37676,4.83955,Private room,84.0,3,108,2024-08-05,0.99,2,73,17,036342317BF4C33BF998
